"COMPONENTS
  OF POPULATION CHANGE1",Number,Percent,Number,Percent
"Total
  Population Change",40,100.0,"9,056",100.0
Natural Change,-21,-52.5,"3,000",33.1
Births,65,(X),"7,426",(X)
Deaths,86,(X),"4,426",(X)
Net Migration,61,152.5,"6,056",66.9

