RESIDENCE 1 YEAR AGO2,Number,Percent,Number,Percent
"Population
  age 1 year and over","13,123",100.0,"555,587",100.0
Same house,"11,041",84.1,"454,552",81.8
Different house in the U.S.,"2,058",15.7,"99,164",17.8
Same county,612,4.7,"54,717",9.8
Different county,"1,446",11.0,"44,447",8.0
Same state,524,4.0,"14,481",2.6
Different state,922,7.0,"29,966",5.4
Abroad,24,0.2,"1,871",0.3

