AGRICULTURE7,Number,Percent,Number,Percent
"Number
  of Farms",315,(X),"11,736",(X)
"Land in
  Farms (thousands of acres)",650,(X),"30,364",(X)
"Total
  Cash Receipts (thousands of dollars)","$34,060",100.0,"$1,663,761",100.0
Livestock and Products,"$32,190",94.5,"$1,235,198",74.2
Crops,"$1,870",5.5,"$428,563",25.8
"Net Farm
  Income (thousands of dollars)","$1,200",(X),"$268,001",(X)

