RESIDENCE 1 YEAR AGO2,Number,Percent,Number,Percent
"Population
  age 1 year and over","39,455",100.0,"555,587",100.0
Same house,"32,977",83.6,"454,552",81.8
Different house in the U.S.,"6,428",16.3,"99,164",17.8
Same county,"3,878",9.8,"54,717",9.8
Different county,"2,550",6.5,"44,447",8.0
Same state,"1,004",2.5,"14,481",2.6
Different state,"1,546",3.9,"29,966",5.4
Abroad,50,0.1,"1,871",0.3

