"UNITS
  IN STRUCTURE2",Number,Percent,Number,Percent
"Total
  housing units","3,821",100.0,"261,430",100.0
Single family units,"3,060",80.1,"182,817",69.9
2 to 4 units,340,8.9,"19,426",7.4
5 to 9 units,0,0.0,"8,872",3.4
10 or more units,56,1.5,"13,702",5.2
Mobile home,365,9.6,"36,251",13.9
"RV, van, boat, etc.",0,0.0,362,0.1

