"RATIO
  OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS2",Number,Percent,Number,Percent
Total:,"39,201",100.0,"549,049",100.0
Under .50,"1,936",4.9,"24,850",4.5
.50 to .99,"4,019",10.3,"35,786",6.5
1.00 to 1.24,"2,509",6.4,"19,623",3.6
1.25 to 1.49,"2,367",6.0,"23,841",4.3
1.50 to 1.84,"3,581",9.1,"37,058",6.7
1.85 to 1.99,"1,029",2.6,"14,161",2.6
2.00 and over,"23,760",60.6,"393,730",71.7

