CRIME11,Number,Percent,Number,Percent
"Violent
  Crime",40,100.0,"1,086",100.0
Murder,0,0.0,14,1.3
Forcible Rape,10,25.0,147,13.5
Robbery,0,0.0,60,5.5
Aggravated Assault,30,75.0,865,79.7
"Property
  Crime",331,100.0,"12,791",100.0
Burglary,49,14.8,"2,061",16.1
Larceny-Theft,264,79.8,"10,182",79.6
Motor Vehicle Theft,18,5.4,548,4.3

