"COMPONENTS
  OF POPULATION CHANGE1",Number,Percent,Number,Percent
"Total
  Population Change","1,996",100.0,"9,056",100.0
Natural Change,487,24.4,"3,000",33.1
Births,"1,215",(X),"7,426",(X)
Deaths,728,(X),"4,426",(X)
Net Migration,"1,509",75.6,"6,056",66.9

