CRIME11,Number,Percent,Number,Percent
"Violent
  Crime",7,100.0,"1,086",100.0
Murder,0,0.0,14,1.3
Forcible Rape,3,42.9,147,13.5
Robbery,0,0.0,60,5.5
Aggravated Assault,4,57.1,865,79.7
"Property
  Crime",382,100.0,"12,791",100.0
Burglary,37,9.7,"2,061",16.1
Larceny-Theft,333,87.2,"10,182",79.6
Motor Vehicle Theft,12,3.1,548,4.3

