"PER
  CAPITA INCOME3",Number,Percent,Number,Percent
"Per
  capita personal income","$44,890",(X),"$50,567",(X)
"Per
  capita personal current transfer receipts","$8,484",(X),"$6,343",(X)
"Per
  capita dividends, interest, and rent","$10,997",(X),"$13,093",(X)
"Average
  nonfarm proprietors' income","$15,502",(X),"$35,391",(X)

