"FAMILIES
  AND PEOPLE WHOSE INCOME IS BELOW THE POVERTY LEVEL2",Number,Percent,Number,Percent
"All
  families",850,7.3,"10,532",7.2
With related children under 18 years,753,12.1,"8,494",12.4
Married couple families,349,3.7,"4,139",3.5
With related children under 18 years,321,7.0,"2,719",5.7
"Families with female householder, no husband
  present",358,24.9,"5,472",28.4
With related children under 18 years,315,29.3,"4,982",36.2

"All
  people","4,261",9.9,"60,636",11.0
Under 18 years,"1,874",15.9,"19,470",14.7
18 to 64 years,"2,249",8.1,"36,902",10.6
65 years and over,138,3.9,"4,264",6.3

