"PER
  CAPITA INCOME3",Number,Percent,Number,Percent
"Per
  capita personal income","$38,601",(X),"$50,567",(X)
"Per
  capita personal current transfer receipts","$5,291",(X),"$6,343",(X)
"Per
  capita dividends, interest, and rent","$12,052",(X),"$13,093",(X)
"Average
  nonfarm proprietors' income","$16,848",(X),"$35,391",(X)

