"AVERAGE
  WAGE AND SALARY EMPLOYMENT6",Number,Percent,Number,Percent
Total,"9,127",100.0,"278,595",100.0
Private,"6,992",76.6,"212,193",76.2
"Agriculture, Forestry, Fishing,
  & Hunting",31,0.3,"2,542",0.9
"Mining, Quarrying, & Oil &
  Gas Extraction",612,6.7,"27,688",9.9
Utilities,89,1.0,"2,469",0.9
Construction,"1,093",12.0,"21,500",7.7
Manufacturing,319,3.5,"9,357",3.4
Wholesale Trade,264,2.9,"9,166",3.3
Retail Trade,"1,095",12.0,"29,444",10.6
Transportation & Warehousing,317,3.5,"9,554",3.4
Information,249,2.7,"3,902",1.4
Financial Activities,331,3.6,"10,754",3.9
Professional & Business Services,542,5.9,"18,010",6.5
Educational & Health Services,"1,133",12.4,"25,324",9.1
Leisure & Hospitality,758,8.3,"33,923",12.2
Other Services,162,1.8,"8,564",3.1
Government,"2,134",23.4,"66,403",23.8
Federal Government,68,0.7,"7,522",2.7
State Government,497,5.4,"13,343",4.8
Local Government,"1,570",17.2,"45,538",16.3

