RESIDENCE 1 YEAR AGO2,Number,Percent,Number,Percent
"Population
  age 1 year and over","10,007",100.0,"555,587",100.0
Same house,"8,223",82.2,"454,552",81.8
Different house in the U.S.,"1,784",17.8,"99,164",17.8
Same county,471,4.7,"54,717",9.8
Different county,"1,313",13.1,"44,447",8.0
Same state,310,3.1,"14,481",2.6
Different state,"1,003",10.0,"29,966",5.4
Abroad,0,0.0,"1,871",0.3

