"UNITS
  IN STRUCTURE2",Number,Percent,Number,Percent
"Total
  housing units","5,685",100.0,"261,430",100.0
Single family units,"4,832",85.0,"182,817",69.9
2 to 4 units,116,2.0,"19,426",7.4
5 to 9 units,27,0.5,"8,872",3.4
10 or more units,37,0.7,"13,702",5.2
Mobile home,658,11.6,"36,251",13.9
"RV, van, boat, etc.",15,0.3,362,0.1

