"HOUSING
  UNITS2",Number,Percent,Number,Percent
"Total
  housing units","4,664",100.0,"261,430",100.0
Occupied housing units,"3,662",78.5,"221,479",84.7
Owner-occupied,"2,913",79.5,"155,659",70.3
Renter-occupied,749,20.5,"65,820",29.7
Vacant housing units,"1,002",21.5,"39,951",15.3

Homeowner vacancy rate,(X),0.8,(X),1.7
Rental vacancy rate,(X),5.6,(X),7.9

