"CIVILIAN
  LABOR FORCE5 (2013)",Number,Percent,Number,Percent
"Labor
  Force","3,319",100.0,"306,315",100.0
Employment,"3,177",95.7,"292,096",95.4
Unemployment,142,4.3,"14,219",4.6
"Unemployment
  Rate",4.3%,(X),4.6%,(X)

