"UNITS
  IN STRUCTURE2",Number,Percent,Number,Percent
"Total
  housing units","8,580",100.0,"261,430",100.0
Single family units,"6,323",73.7,"182,817",69.9
2 to 4 units,339,4.0,"19,426",7.4
5 to 9 units,215,2.5,"8,872",3.4
10 or more units,321,3.7,"13,702",5.2
Mobile home,"1,365",15.9,"36,251",13.9
"RV, van, boat, etc.",17,0.2,362,0.1

