CRIME11,Number,Percent,Number,Percent
"Violent
  Crime",72,100.0,"1,086",100.0
Murder,1,1.4,14,1.3
Forcible Rape,16,22.2,147,13.5
Robbery,2,2.8,60,5.5
Aggravated Assault,53,73.6,865,79.7
"Property
  Crime",481,100.0,"12,791",100.0
Burglary,109,22.7,"2,061",16.1
Larceny-Theft,359,74.6,"10,182",79.6
Motor Vehicle Theft,13,2.7,548,4.3

