CRIME11,Number,Percent,Number,Percent
"Violent
  Crime",11,100.0,"1,086",100.0
Murder,0,0.0,14,1.3
Forcible Rape,0,0.0,147,13.5
Robbery,0,0.0,60,5.5
Aggravated Assault,11,100.0,865,79.7
"Property
  Crime",126,100.0,"12,791",100.0
Burglary,33,26.2,"2,061",16.1
Larceny-Theft,88,69.8,"10,182",79.6
Motor Vehicle Theft,5,4.0,548,4.3

