"CIVILIAN
  LABOR FORCE5 (2013)",Number,Percent,Number,Percent
"Labor
  Force","4,244",100.0,"306,315",100.0
Employment,"4,037",95.1,"292,096",95.4
Unemployment,207,4.9,"14,219",4.6
"Unemployment
  Rate",4.9%,(X),4.6%,(X)

