"PER
  CAPITA INCOME3",Number,Percent,Number,Percent
"Per
  capita personal income","$41,898",(X),"$50,567",(X)
"Per
  capita personal current transfer receipts","$6,688",(X),"$6,343",(X)
"Per
  capita dividends, interest, and rent","$13,818",(X),"$13,093",(X)
"Average
  nonfarm proprietors' income","$17,627",(X),"$35,391",(X)

