"RATIO
  OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS2",Number,Percent,Number,Percent
Total:,"89,838",100.0,"549,049",100.0
Under .50,"4,176",4.6,"24,850",4.5
.50 to .99,"5,123",5.7,"35,786",6.5
1.00 to 1.24,"3,645",4.1,"19,623",3.6
1.25 to 1.49,"3,938",4.4,"23,841",4.3
1.50 to 1.84,"5,157",5.7,"37,058",6.7
1.85 to 1.99,"2,324",2.6,"14,161",2.6
2.00 and over,"65,475",72.9,"393,730",71.7

