CRIME11,Number,Percent,Number,Percent
"Violent
  Crime",37,100.0,"1,086",100.0
Murder,0,0.0,14,1.3
Forcible Rape,0,0.0,147,13.5
Robbery,1,2.7,60,5.5
Aggravated Assault,36,97.3,865,79.7
"Property
  Crime",214,100.0,"12,791",100.0
Burglary,66,30.8,"2,061",16.1
Larceny-Theft,146,68.2,"10,182",79.6
Motor Vehicle Theft,2,0.9,548,4.3

