"CIVILIAN
  LABOR FORCE5 (2013)",Number,Percent,Number,Percent
"Labor
  Force","16,187",100.0,"306,315",100.0
Employment,"15,333",94.7,"292,096",95.4
Unemployment,854,5.3,"14,219",4.6
"Unemployment
  Rate",5.3%,(X),4.6%,(X)

