"UNITS
  IN STRUCTURE2",Number,Percent,Number,Percent
"Total
  housing units","5,952",100.0,"261,430",100.0
Single family units,"4,906",82.4,"182,817",69.9
2 to 4 units,179,3.0,"19,426",7.4
5 to 9 units,15,0.3,"8,872",3.4
10 or more units,171,2.9,"13,702",5.2
Mobile home,671,11.3,"36,251",13.9
"RV, van, boat, etc.",10,0.2,362,0.1

