TRANSPORTATION12,Number,Percent,Number,Percent
"Number
  of Registered Vehicles","32,105",100.0,"883,401",100.0
Passenger Cars,"12,359",38.5,"348,250",39.4
Trucks,"9,559",29.8,"251,400",28.5
Motorcycles,956,3.0,"29,853",3.4
Trailers (including house trailers),"7,607",23.7,"196,395",22.2
"University of Wyoming Specialty Plates
  (cars & trucks)",207,0.6,"5,025",0.6
Commercial Trucks & Trailers,703,2.2,"24,901",2.8
Others,714,2.2,"27,577",3.1
"Road
  (miles)",755,100.0,"29,070",100.0
Federal,36,4.8,"4,089",14.1
State Highway,218,28.9,"6,752",23.2
County Road,376,49.8,"14,620",50.3
Local (City & Town),105,13.9,"2,431",8.4
Other,20,2.6,"1,178",4.1
"Per
  Capita Vehicle Miles Traveled","18,591",(X),"15,659",(X)
"Commercial
  Airport Passengers",0,(X),"997,818",(X)

