"GROSS
  RENT2",Number,Percent,Number,Percent
"Occupied
  units paying rent","6,977",100.0,"58,693",100.0
Less than $200,28,0.4,862,1.5
$200 to $299,142,2.0,"2,200",3.7
$300 to $499,"1,173",16.8,"8,024",13.7
$500 to $749,"2,454",35.2,"19,540",33.3
$750 to $999,"1,822",26.1,"14,169",24.1
"$1,000 to $1,499",957,13.7,"10,137",17.3
"$1,500 or more",401,5.7,"3,761",6.4
Median (dollars),$710,(X),$733,(X)

