RESIDENCE 1 YEAR AGO2,Number,Percent,Number,Percent
"Population
  age 1 year and over","4,693",100.0,"555,587",100.0
Same house,"3,660",78.0,"454,552",81.8
Different house in the U.S.,977,20.8,"99,164",17.8
Same county,450,9.6,"54,717",9.8
Different county,527,11.2,"44,447",8.0
Same state,106,2.3,"14,481",2.6
Different state,421,9.0,"29,966",5.4
Abroad,56,1.2,"1,871",0.3

