"RATIO
  OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS2",Number,Percent,Number,Percent
Total:,"13,660",100.0,"549,049",100.0
Under .50,392,2.9,"24,850",4.5
.50 to .99,735,5.4,"35,786",6.5
1.00 to 1.24,414,3.0,"19,623",3.6
1.25 to 1.49,386,2.8,"23,841",4.3
1.50 to 1.84,"1,017",7.4,"37,058",6.7
1.85 to 1.99,198,1.4,"14,161",2.6
2.00 and over,"10,518",77.0,"393,730",71.7

