"CIVILIAN
  LABOR FORCE5 (2013)",Number,Percent,Number,Percent
"Labor
  Force","8,359",100.0,"306,315",100.0
Employment,"8,069",96.5,"292,096",95.4
Unemployment,290,3.5,"14,219",4.6
"Unemployment
  Rate",3.5%,(X),4.6%,(X)

