"PER
  CAPITA INCOME3",Number,Percent,Number,Percent
"Per
  capita personal income","$58,843",(X),"$50,567",(X)
"Per
  capita personal current transfer receipts","$4,908",(X),"$6,343",(X)
"Per
  capita dividends, interest, and rent","$7,971",(X),"$13,093",(X)
"Average
  nonfarm proprietors' income","$151,707",(X),"$35,391",(X)

