"UNITS
  IN STRUCTURE2",Number,Percent,Number,Percent
"Total
  housing units","13,548",100.0,"261,430",100.0
Single family units,"9,984",73.7,"182,817",69.9
2 to 4 units,"1,046",7.7,"19,426",7.4
5 to 9 units,345,2.5,"8,872",3.4
10 or more units,267,2.0,"13,702",5.2
Mobile home,"1,906",14.1,"36,251",13.9
"RV, van, boat, etc.",0,0.0,362,0.1

