"HOUSING
  UNITS2",Number,Percent,Number,Percent
"Total
  housing units","5,364",100.0,"261,430",100.0
Occupied housing units,"4,587",85.5,"221,479",84.7
Owner-occupied,"3,414",74.4,"155,659",70.3
Renter-occupied,"1,173",25.6,"65,820",29.7
Vacant housing units,777,14.5,"39,951",15.3

Homeowner vacancy rate,(X),2.4,(X),1.7
Rental vacancy rate,(X),4.8,(X),7.9

