TRANSPORTATION12,Number,Percent,Number,Percent
"Number of
  Registered Vehicles","63,301",100.0,"883,401",100.0
Passenger Cars,"21,742",34.3,"348,250",39.4
Trucks,"18,851",29.8,"251,400",28.5
Motorcycles,"1,647",2.6,"29,853",3.4
Trailers (including house trailers),"16,429",26.0,"196,395",22.2
"University of Wyoming Specialty Plates
  (cars & trucks)",326,0.5,"5,025",0.6
Commercial Trucks & Trailers,"2,175",3.4,"24,901",2.8
Others,"2,131",3.4,"27,577",3.1
"Road
  (miles)","2,255",100.0,"29,070",100.0
Federal,490,21.7,"4,089",14.1
State Highway,498,22.1,"6,752",23.2
County Road,960,42.6,"14,620",50.3
Local (City & Town),147,6.5,"2,431",8.4
Other,160,7.1,"1,178",4.1
"Per
  Capita Vehicle Miles Traveled","12,880",(X),"15,659",(X)
"Commercial
  Airport Passengers","26,090",(X),"997,818",(X)

