AGRICULTURE7,Number,Percent,Number,Percent
"Number
  of Farms",264,(X),"11,736",(X)
"Land in
  Farms (thousands of acres)","1,290",(X),"30,364",(X)
"Total
  Cash Receipts (thousands of dollars)","$34,057",100.0,"$1,663,761",100.0
Livestock and Products,"$32,247",94.7,"$1,235,198",74.2
Crops,"$1,810",5.3,"$428,563",25.8
"Net Farm
  Income (thousands of dollars)","$3,771",(X),"$268,001",(X)

