"GROSS
  RENT2",Number,Percent,Number,Percent
"Occupied
  units paying rent",681,100.0,"58,693",100.0
Less than $200,0,0.0,862,1.5
$200 to $299,32,4.7,"2,200",3.7
$300 to $499,25,3.7,"8,024",13.7
$500 to $749,128,18.8,"19,540",33.3
$750 to $999,94,13.8,"14,169",24.1
"$1,000 to $1,499",265,38.9,"10,137",17.3
"$1,500 or more",137,20.1,"3,761",6.4
Median (dollars),"$1,078",(X),$733,(X)

