RESIDENCE 1 YEAR AGO2,Number,Percent,Number,Percent
"Population
  age 1 year and over","13,619",100.0,"555,587",100.0
Same house,"11,314",83.1,"454,552",81.8
Different house in the U.S.,"2,305",16.9,"99,164",17.8
Same county,"1,352",9.9,"54,717",9.8
Different county,953,7.0,"44,447",8.0
Same state,479,3.5,"14,481",2.6
Different state,474,3.5,"29,966",5.4
Abroad,0,0.0,"1,871",0.3

