"PER
  CAPITA INCOME3",Number,Percent,Number,Percent
"Per
  capita personal income","$40,177",(X),"$50,567",(X)
"Per
  capita personal current transfer receipts","$7,892",(X),"$6,343",(X)
"Per
  capita dividends, interest, and rent","$10,024",(X),"$13,093",(X)
"Average
  nonfarm proprietors' income","$15,313",(X),"$35,391",(X)

