"GROSS
  RENT2",Number,Percent,Number,Percent
"Occupied
  units paying rent",929,100.0,"58,693",100.0
Less than $200,0,0.0,862,1.5
$200 to $299,89,9.6,"2,200",3.7
$300 to $499,360,38.8,"8,024",13.7
$500 to $749,300,32.3,"19,540",33.3
$750 to $999,171,18.4,"14,169",24.1
"$1,000 to $1,499",9,1.0,"10,137",17.3
"$1,500 or more",0,0.0,"3,761",6.4
Median (dollars),$511,(X),$733,(X)

