"PER
  CAPITA INCOME3",Number,Percent,Number,Percent
"Per
  capita personal income","$44,882",(X),"$50,567",(X)
"Per
  capita personal current transfer receipts","$6,293",(X),"$6,343",(X)
"Per
  capita dividends, interest, and rent","$12,441",(X),"$13,093",(X)
"Average
  nonfarm proprietors' income","$19,989",(X),"$35,391",(X)

