MORTGAGE STATUS2,Number,Percent,Number,Percent
"Owner-occupied
  units","2,913",100.0,"155,659",100.0
Housing units with a mortgage,"1,511",51.9,"94,301",60.6
Housing units without a mortgage,"1,402",48.1,"61,358",39.4

