MORTGAGE STATUS2,Number,Percent,Number,Percent
"Owner-occupied
  units","7,620",100.0,"155,659",100.0
Housing units with a mortgage,"4,628",60.7,"94,301",60.6
Housing units without a mortgage,"2,992",39.3,"61,358",39.4

