"GROSS
  RENT2",Number,Percent,Number,Percent
"Occupied
  units paying rent","1,247",100.0,"58,693",100.0
Less than $200,66,5.3,862,1.5
$200 to $299,81,6.5,"2,200",3.7
$300 to $499,159,12.8,"8,024",13.7
$500 to $749,458,36.7,"19,540",33.3
$750 to $999,265,21.3,"14,169",24.1
"$1,000 to $1,499",151,12.1,"10,137",17.3
"$1,500 or more",67,5.4,"3,761",6.4
Median (dollars),$633,(X),$733,(X)

