"POPULATION -
  RACE/HISPANIC1",Number,Percent,Number,Percent
"All
  Races Combined","10,368",100.0,"576,412",100.0
White Alone,"9,885",95.3,"536,450",93.1
Black or African American Alone,123,1.2,"8,555",1.5
American Indian and Alaska Native Alone,110,1.1,"15,003",2.6
Asian Alone,95,0.9,"5,183",0.9
"Native Hawaiian and Other Pacific
  Islander Alone",8,0.1,575,0.1
Two or More Races,147,1.4,"10,646",1.8

"Hispanic
  (may be of any race)",831,8.0,"54,770",9.5
Non-Hispanic,"9,537",92.0,"521,642",90.5
White Alone,"9,120",88.0,"487,822",84.6

