AGRICULTURE7,Number,Percent,Number,Percent
"Number
  of Farms",358,(X),"11,736",(X)
"Land in
  Farms (thousands of acres)","2,036",(X),"30,364",(X)
"Total
  Cash Receipts (thousands of dollars)","$35,887",100.0,"$1,663,761",100.0
Livestock and Products,"$31,646",88.2,"$1,235,198",74.2
Crops,"$4,241",11.8,"$428,563",25.8
"Net Farm
  Income (thousands of dollars)",$555,(X),"$268,001",(X)

