EDUCATIONAL ATTAINMENT2,Number,Percent,Number,Percent
"Population
  25 years and over","3,552",100.0,"371,096",100.0
Less than 9th grade,153,4.3,"8,661",2.3
"9th to 12th grade, no diploma",301,8.5,"20,726",5.6
"High school graduate (includes
  equivalency)","1,240",34.9,"113,353",30.5
"Some college, no degree",897,25.3,"101,199",27.3
Associate's degree,259,7.3,"37,126",10.0
Bachelor's degree,416,11.7,"60,011",16.2
Graduate or professional degree,286,8.1,"30,020",8.1

"Percent
  high school graduate or higher",(X),87.2,(X),92.1
"Percent
  bachelor's degree or higher",(X),19.8,(X),24.3

