"FAMILIES
  AND PEOPLE WHOSE INCOME IS BELOW THE POVERTY LEVEL2",Number,Percent,Number,Percent
"All
  families",113,5.6,"10,532",7.2
With related children under 18 years,89,11.3,"8,494",12.4
Married couple families,44,2.6,"4,139",3.5
With related children under 18 years,20,3.5,"2,719",5.7
"Families with female householder, no husband
  present",69,27.2,"5,472",28.4
With related children under 18 years,69,35.8,"4,982",36.2

"All
  people",596,8.6,"60,636",11.0
Under 18 years,209,13.0,"19,470",14.7
18 to 64 years,331,7.9,"36,902",10.6
65 years and over,56,4.9,"4,264",6.3

