"UNITS
  IN STRUCTURE2",Number,Percent,Number,Percent
"Total
  housing units","3,574",100.0,"261,430",100.0
Single family units,"2,469",69.1,"182,817",69.9
2 to 4 units,49,1.4,"19,426",7.4
5 to 9 units,45,1.3,"8,872",3.4
10 or more units,13,0.4,"13,702",5.2
Mobile home,990,27.7,"36,251",13.9
"RV, van, boat, etc.",8,0.2,362,0.1

