"GROSS
  RENT2",Number,Percent,Number,Percent
"Occupied
  units paying rent","1,653",100.0,"58,693",100.0
Less than $200,73,4.4,862,1.5
$200 to $299,61,3.7,"2,200",3.7
$300 to $499,293,17.7,"8,024",13.7
$500 to $749,790,47.8,"19,540",33.3
$750 to $999,349,21.1,"14,169",24.1
"$1,000 to $1,499",87,5.3,"10,137",17.3
"$1,500 or more",0,0.0,"3,761",6.4
Median (dollars),$634,(X),$733,(X)

