"RATIO
  OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS2",Number,Percent,Number,Percent
Total:,"8,259",100.0,"549,049",100.0
Under .50,305,3.7,"24,850",4.5
.50 to .99,643,7.8,"35,786",6.5
1.00 to 1.24,535,6.5,"19,623",3.6
1.25 to 1.49,239,2.9,"23,841",4.3
1.50 to 1.84,994,12.0,"37,058",6.7
1.85 to 1.99,96,1.2,"14,161",2.6
2.00 and over,"5,447",66.0,"393,730",71.7

