"GROSS
  RENT2",Number,Percent,Number,Percent
"Occupied
  units paying rent",490,100.0,"58,693",100.0
Less than $200,3,0.6,862,1.5
$200 to $299,6,1.2,"2,200",3.7
$300 to $499,81,16.5,"8,024",13.7
$500 to $749,212,43.3,"19,540",33.3
$750 to $999,123,25.1,"14,169",24.1
"$1,000 to $1,499",62,12.7,"10,137",17.3
"$1,500 or more",3,0.6,"3,761",6.4
Median (dollars),$679,(X),$733,(X)

