"CIVILIAN
  LABOR FORCE5 (2013)",Number,Percent,Number,Percent
"Labor
  Force","46,248",100.0,"306,315",100.0
Employment,"43,959",95.1,"292,096",95.4
Unemployment,"2,289",4.9,"14,219",4.6
"Unemployment
  Rate",4.9%,(X),4.6%,(X)

