CRIME11,Number,Percent,Number,Percent
"Violent
  Crime",226,100.0,"1,086",100.0
Murder,2,0.9,14,1.3
Forcible Rape,33,14.6,147,13.5
Robbery,27,11.9,60,5.5
Aggravated Assault,164,72.6,865,79.7
"Property
  Crime","2,715",100.0,"12,791",100.0
Burglary,425,15.7,"2,061",16.1
Larceny-Theft,"2,146",79.0,"10,182",79.6
Motor Vehicle Theft,144,5.3,548,4.3

