"",,,,,,,,th4  Qt,,,4th Qt,,
"",,,,AGG,,,,,,,,,%
"",MURDER,RAPE,ROBBERY,,BURGLARY,LARCENY,MVT,2016,,M,2015,M,
"",,,,ASSLT,,,,Total,,,Total,,Change *
ALBANY COUNTY,0,4,0,12,21,124,7,168,,,212,,-20.8%
"",,,,,,,,,,,,,
Sheriff,,,,3,1,9,1,14,,3,14,3,0.0%
"",,,,,,,,,,,,,
Laramie,,4,,9,19,88,5,125,,3,159,3,-21.4%
"",,,,,,,,,,,,,
University of,,,,,,,,,,,,,
"",,,,,1,27,1,29,,3,39,3,-25.6%
Wyoming,,,,,,,,,,,,,
BIG HORN COUNTY,0,0,0,0,4,7,2,13,,,13,,0.0%
"",,,,,,,,,,,,,
Sheriff,,,,,2,4,2,8,,3,4,3,100.0%
"",,,,,,,,,,,,,
Lovell,,,,,,,,0,,0,0,0,0.0%
"",,,,,,,,,,,,,
Greybull,,,,,2,3,,5,,3,9,3,-44.4%
"",,,,,,,,,,,,,
CAMPBELL COUNTY,2,4,1,41,26,156,8,238,,,312,,-23.7%
"",,,,,,,,,,,,,
Sheriff,2,2,,30,6,19,1,60,,3,68,3,-11.8%
"",,,,,,,,,,,,,
Gillette,,2,1,11,20,137,7,178,,3,244,3,-27.0%
"",,,,,,,,,,,,,
CARBON COUNTY,0,1,1,5,6,81,4,98,,,7,,1300.0%
"",,,,,,,,,,,,,
Sheriff,,,,3,,3,,6,,3,6,3,0.0%
"",,,,,,,,,,,,,
Rawlins,,1,1,2,5,73,3,85,,3,0,3,100.0%
"",,,,,,,,,,,,,
Saratoga,,,,,,4,1,5,,3,1,3,400.0%
"",,,,,,,,,,,,,
Hanna,,,,,1,1,,2,,3,0,3,100.0%
"",,,,,,,,,,,,,
CONVERSE COUNTY,0,1,0,2,7,36,0,46,,,52,,-11.5%
"",,,,,,,,,,,,,
Sheriff,,,,,,,,0,,0,0,3,0.0%
"",,,,,,,,,,,,,
Douglas,,,,1,6,28,,35,,3,48,3,-27.1%
"",,,,,,,,,,,,,
Glenrock,,1,,1,1,8,,11,,3,4,3,175.0%
"",,,,,,,,,,,,,
CROOK COUNTY,0,0,0,0,2,11,1,14,,,17,,-17.6%
"",,,,,,,,,,,,,
Sheriff,,,,,2,6,1,9,,3,3,3,200.0%
"",,,,,,,,,,,,,
Sundance,,,,,,2,,2,,3,1,3,100.0%
