"",,,,,,,
"",,AM 2,1,0,0,0,0
15,,,,,,,
"",Time of Assaults,PM 4,0,2,3,1,2
"",,,,,,,
"",10:01 - 12:00,12:01 -2:00,2:01 - 4:00,4:01 - 6:00,6:01 - 8:00,8:01 - 10:00,
