Albany,72,Big Horn,,Campbell,56
"",,,,,
Carbon,3,Converse,6,Crook,1
"",,,,,
Fremont,32,Goshen,12,Hot Springs,4
"",,,,,
Johnson,7,Laramie,69,Lincoln,16
"",,,,,
Natrona,53,Niobrara,,Park,17
"",,,,,
Platte,3,Sheridan,56,Sublette,11
"",,,,,
Sweetwater,57,Teton,9,Uinta,19
"",,,,,
Washakie,1,Weston,4,State Total,508
