"",AM,,,,,,
"",,4,1,,,2,
Time of Assaults,PM,1,1,1,3,1,1
"",,,,,,,
"",,12:01 -2:00,2:01 - 4:00,4:01 - 6:00,6:01 - 8:00,8:01 - 10:00,10:01 - 12:00
