00:01 - 01:59,471,12:00 - 13:59,419
"",,,
02:00 - 03:59,297,14:00 - 15:59,399
"",,,
04:00 - 05:59,126,16:00 - 17:59,540
"",,,
06:00 - 07:59,142,18:00 - 19:59,623
"",,,
08:00 - 09:59,257,20:00 - 21:59,653
"",,,
10:00 - 11:59,306,22:00 - 23:59,609
"",,,
"",,Total,"4,842"
