"",,,,,,,,3RD QT,,3RD QT,,
"",,,,AGG.,,,,,,,,%
"",MURDER,RAPE,ROBBERY,,BURGLARY,LARCENY,MVT,2016,M,2015,M,
"",,,,ASSAULT,,,,TOTAL,,TOTAL,,Change *
ALBANY COUNTY,0,1,1,4,13,118,5,142,,212,,-33.0%
"",,,,,,,,,,,,
Sheriff,,,,,,11,1,12,3,14,3,-14.3%
"",,,,,,,,,,,,
Laramie,,1,1,4,12,84,4,106,3,159,3,-33.3%
"",,,,,,,,,,,,
Univ of Wyoming,,,,,1,23,,24,3,39,3,-38.5%
"",,,,,,,,,,,,
BIG HORN COUNTY,0,1,0,0,2,6,0,9,,13,,-30.8%
"",,,,,,,,,,,,
Sheriff,,1,,,2,5,,8,3,4,3,100.0%
"",,,,,,,,,,,,
Lovell,,,,,,,,0,0,0,0,0.0%
"",,,,,,,,,,,,
Greybull,,,,,,1,,1,3,9,3,-88.9%
"",,,,,,,,,,,,
CAMPBELL COUNTY,1,1,0,50,43,177,21,293,,312,,-6.1%
"",,,,,,,,,,,,
Sheriff,,1,,35,6,25,1,68,3,68,3,0.0%
"",,,,,,,,,,,,
Gillette,1,,,15,37,152,20,225,3,244,3,-7.8%
"",,,,,,,,,,,,
CARBON COUNTY,0,3,0,6,19,51,9,88,,7,,1157.1%
"",,,,,,,,,,,,
Sheriff,,,,3,2,8,,13,3,6,3,116.7%
"",,,,,,,,,,,,
Rawlins,,3,,3,11,41,8,0,3,0,0,0.0%
"",,,,,,,,,,,,
Saratoga,,,,,6,2,1,9,3,1,3,800.0%
"",,,,,,,,,,,,
Hanna,,,,,,,,0,3,0,0,0.0%
"",,,,,,,,,,,,
CONVERSE COUNTY,0,0,0,13,10,40,1,64,,52,,23.1%
"",,,,,,,,,,,,
Sheriff,,,,,,,,0,0,0,0,0.0%
"",,,,,,,,,,,,
Douglas,,,,10,9,27,1,47,3,48,3,-2.1%
"",,,,,,,,,,,,
Glenrock,,,,3,1,13,,17,3,4,3,325.0%
"",,,,,,,,,,,,
CROOK COUNTY,0,0,0,0,2,14,1,17,,17,,0.0%
"",,,,,,,,,,,,
Sheriff,,,,,2,9,1,12,3,3,3,300.0%
"",,,,,,,,,,,,
Sundance,,,,,,3,,3,3,1,3,200.0%
"",,,,,,,,,,,,
Moorcroft,,,,,,2,,2,3,13,3,-84.6%
"",,,,,,,,,,,,
