"",,,Offenders,,Offenders
"",,,,,
"",Number of Victims,Victims Under 18,Male,Female,Under 18
"",,,,,
Female,"3,278",240,"2,898",374,53
Male,"1,570",195,480,"1,087",95
Total,"4,848",435,"3,378","1,461",148
