"County","Year","Age Range","White","Black","American Indian","Asian","Total"
"Goshen",2012,"Total","13251","184","145","76","13656"
"Johnson",2014,"0","92","0","4","1","97"
"Johnson",2014,"1","89","0","8","1","98"
"Johnson",2014,"2","89","3","3","2","97"
"Johnson",2014,"3","107","6","9","1","123"
"Johnson",2014,"4","90","1","10","5","106"
"Johnson",2014,"5","111","1","6","2","120"
"Johnson",2014,"6","108","1","5","4","118"
"Johnson",2014,"7","110","1","3","1","115"
"Johnson",2014,"8","106","1","6","0","113"
"Johnson",2014,"9","121","0","2","1","124"
"Johnson",2014,"10","105","2","3","0","110"
"Johnson",2014,"11","78","2","3","0","83"
"Johnson",2014,"12","97","1","2","0","100"
"Johnson",2014,"13","94","1","1","0","96"
"Johnson",2014,"14","87","2","2","0","91"
"Johnson",2014,"15","93","0","2","0","95"
"Johnson",2014,"16","103","0","1","0","104"
"Johnson",2014,"17","100","2","2","1","105"
"Johnson",2014,"18 to 20","267","4","5","1","277"
"Johnson",2014,"21 to 24","279","5","9","4","297"
"Johnson",2014,"25 & over","5921","64","53","55","6093"
"Johnson",2014,"Total","8247","97","139","79","8562"
"Fremont",2011,"0","343","9","273","5","630"
"Fremont",2011,"1","385","6","244","6","641"
"Fremont",2011,"2","392","5","214","2","613"
"Fremont",2011,"3","383","6","237","3","629"
"Fremont",2011,"4","408","6","210","3","627"
"Fremont",2011,"5","391","2","250","2","645"
"Fremont",2011,"6","381","4","231","3","619"
"Fremont",2011,"7","362","5","226","4","597"
"Fremont",2011,"8","353","5","217","3","578"
"Fremont",2011,"9","356","5","200","2","563"
"Fremont",2011,"10","357","7","181","2","547"
"Fremont",2011,"11","345","5","166","0","516"
"Fremont",2011,"12","339","6","174","1","520"
"Fremont",2011,"13","361","5","177","3","546"
"Fremont",2011,"14","355","4","171","5","535"
"Fremont",2011,"15","353","3","172","3","531"
"Fremont",2011,"16","330","3","157","2","492"
"Fremont",2011,"17","364","3","166","4","537"
"Fremont",2011,"18 to 20","1043","7","486","4","1540"
"Fremont",2011,"21 to 24","1375","15","572","11","1973"
"Fremont",2011,"25 & over","21980","99","4503","134","26716"
"Fremont",2011,"Total","30956","210","9227","202","40595"
"Niobrara",2006,"0","21","1","0","0","22"
"Niobrara",2006,"1","15","0","0","0","15"
"Niobrara",2006,"2","10","0","0","0","10"
"Niobrara",2006,"3","26","0","0","0","26"
"Niobrara",2006,"4","14","0","1","0","15"
"Niobrara",2006,"5","21","0","0","0","21"
"Niobrara",2006,"6","14","0","0","0","14"
"Niobrara",2006,"7","29","0","0","0","29"
"Niobrara",2006,"8","16","0","0","0","16"
"Niobrara",2006,"9","41","0","0","0","41"
"Niobrara",2006,"10","19","0","0","0","19"
"Niobrara",2006,"11","28","0","0","0","28"
"Niobrara",2006,"12","19","1","0","0","20"
"Niobrara",2006,"13","27","0","0","0","27"
"Niobrara",2006,"14","25","0","0","1","26"
"Niobrara",2006,"15","36","0","0","0","36"
"Niobrara",2006,"16","31","0","0","0","31"
"Niobrara",2006,"17","41","0","0","1","42"
"Niobrara",2006,"18 to 20","50","0","0","0","50"
"Niobrara",2006,"21 to 24","97","1","2","0","100"
"Niobrara",2006,"25 & over","1708","5","16","4","1733"
"Niobrara",2006,"Total","2288","8","19","6","2321"
"Johnson",2013,"0","93","0","8","1","102"
"Johnson",2013,"1","92","3","3","2","100"
"Johnson",2013,"2","108","3","9","0","120"
"Johnson",2013,"3","90","0","10","5","105"
"Johnson",2013,"4","115","2","6","3","126"
"Johnson",2013,"5","109","1","5","4","119"
"Johnson",2013,"6","117","2","3","1","123"
"Johnson",2013,"7","110","3","5","1","119"
"Johnson",2013,"8","122","1","2","1","126"
"Johnson",2013,"9","104","0","3","0","107"
"Johnson",2013,"10","87","0","3","0","90"
"Johnson",2013,"11","99","1","2","0","102"
"Johnson",2013,"12","84","1","1","0","86"
"Johnson",2013,"13","94","1","2","0","97"
"Johnson",2013,"14","90","1","2","0","93"
"Johnson",2013,"15","105","0","1","0","106"
"Johnson",2013,"16","98","1","1","1","101"
"Johnson",2013,"17","97","0","0","0","97"
"Johnson",2013,"18 to 20","260","9","6","1","276"
"Johnson",2013,"21 to 24","261","5","9","6","281"
"Johnson",2013,"25 & over","5968","69","56","50","6143"
"Johnson",2013,"Total","8303","103","137","76","8619"
"Johnson",2005,"0","88","0","4","0","92"
"Johnson",2005,"1","87","1","2","1","91"
"Johnson",2005,"2","61","0","2","0","63"
"Johnson",2005,"3","68","1","2","0","71"
"Johnson",2005,"4","89","2","2","0","93"
"Johnson",2005,"5","77","0","3","1","81"
"Johnson",2005,"6","86","1","2","0","89"
"Johnson",2005,"7","86","0","1","0","87"
"Johnson",2005,"8","90","0","0","0","90"
"Johnson",2005,"9","73","0","1","0","74"
"Johnson",2005,"10","118","1","1","0","120"
"Johnson",2005,"11","91","0","1","0","92"
"Johnson",2005,"12","108","0","1","0","109"
"Johnson",2005,"13","105","0","0","0","105"
"Johnson",2005,"14","102","1","2","0","105"
"Johnson",2005,"15","125","2","1","0","128"
"Johnson",2005,"16","99","2","1","1","103"
"Johnson",2005,"17","103","0","0","0","103"
"Johnson",2005,"18 to 20","228","0","4","2","234"
"Johnson",2005,"21 to 24","270","2","5","3","280"
"Johnson",2005,"25 & over","5420","8","36","11","5475"
"Johnson",2005,"Total","7574","21","71","19","7685"
"Niobrara",1995,"0","21","0","0","0","21"
"Niobrara",1995,"1","26","0","0","0","26"
"Niobrara",1995,"2","25","0","0","0","25"
"Niobrara",1995,"3","31","0","0","0","31"
"Niobrara",1995,"4","23","0","0","0","23"
"Niobrara",1995,"5","30","0","0","0","30"
"Niobrara",1995,"6","25","0","0","0","25"
"Niobrara",1995,"7","39","0","0","0","39"
"Niobrara",1995,"8","30","0","0","0","30"
"Niobrara",1995,"9","32","0","0","0","32"
"Niobrara",1995,"10","35","0","0","0","35"
"Niobrara",1995,"11","37","0","0","0","37"
"Niobrara",1995,"12","37","0","0","0","37"
"Niobrara",1995,"13","44","0","0","0","44"
"Niobrara",1995,"14","41","0","0","0","41"
"Niobrara",1995,"15","44","0","0","0","44"
"Niobrara",1995,"16","35","0","0","0","35"
"Niobrara",1995,"17","37","0","0","0","37"
"Niobrara",1995,"18 to 20","73","1","0","0","74"
"Niobrara",1995,"21 to 24","62","0","0","0","62"
"Niobrara",1995,"25 & over","1751","1","3","0","1755"
"Niobrara",1995,"Total","2478","2","3","0","2483"
"Converse",2013,"0","178","3","5","0","186"
"Converse",2013,"1","217","4","6","0","227"
"Converse",2013,"2","166","4","6","0","176"
"Converse",2013,"3","200","2","4","1","207"
"Converse",2013,"4","205","4","2","1","212"
"Converse",2013,"5","184","4","2","0","190"
"Converse",2013,"6","201","3","2","2","208"
"Converse",2013,"7","202","3","5","2","212"
"Converse",2013,"8","214","4","3","1","222"
"Converse",2013,"9","187","4","4","0","195"
"Converse",2013,"10","176","1","5","1","183"
"Converse",2013,"11","188","3","7","1","199"
"Converse",2013,"12","202","2","1","2","207"
"Converse",2013,"13","201","0","2","5","208"
"Converse",2013,"14","202","5","5","1","213"
"Converse",2013,"15","180","2","3","0","185"
"Converse",2013,"16","181","4","3","1","189"
"Converse",2013,"17","198","6","2","0","206"
"Converse",2013,"18 to 20","457","14","6","1","478"
"Converse",2013,"21 to 24","659","9","11","3","682"
"Converse",2013,"25 & over","9288","121","114","50","9573"
"Converse",2013,"Total","13886","202","198","72","14358"
"Washakie",2002,"0","82","0","0","2","84"
"Washakie",2002,"1","94","1","1","1","97"
"Washakie",2002,"2","82","0","2","2","86"
"Washakie",2002,"3","107","1","0","0","108"
"Washakie",2002,"4","108","1","1","0","110"
"Washakie",2002,"5","93","1","2","2","98"
"Washakie",2002,"6","93","2","1","1","97"
"Washakie",2002,"7","93","0","1","2","96"
"Washakie",2002,"8","87","1","1","0","89"
"Washakie",2002,"9","91","2","1","3","97"
"Washakie",2002,"10","119","0","0","0","119"
"Washakie",2002,"11","112","0","1","0","113"
"Washakie",2002,"12","141","0","3","1","145"
"Washakie",2002,"13","120","1","1","3","125"
"Washakie",2002,"14","121","0","4","1","126"
"Washakie",2002,"15","140","0","1","1","142"
"Washakie",2002,"16","162","3","3","0","168"
"Washakie",2002,"17","145","1","3","1","150"
"Washakie",2002,"18 to 20","299","2","4","1","306"
"Washakie",2002,"21 to 24","271","1","0","3","275"
"Washakie",2002,"25 & over","5275","6","35","41","5357"
"Washakie",2002,"Total","7835","23","65","65","7988"
"Platte",1990,"0","114","0","0","0","114"
"Platte",1990,"1","110","0","1","0","111"
"Platte",1990,"2","113","0","0","0","113"
"Platte",1990,"3","111","0","0","0","111"
"Platte",1990,"4","141","0","1","0","142"
"Platte",1990,"5","142","1","1","1","145"
"Platte",1990,"6","132","0","0","0","132"
"Platte",1990,"7","126","0","0","0","126"
"Platte",1990,"8","145","0","0","0","145"
"Platte",1990,"9","127","0","0","0","127"
"Platte",1990,"10","142","1","0","0","143"
"Platte",1990,"11","153","0","1","0","154"
"Platte",1990,"12","132","0","0","0","132"
"Platte",1990,"13","129","0","0","0","129"
"Platte",1990,"14","129","0","0","0","129"
"Platte",1990,"15","141","0","0","0","141"
"Platte",1990,"16","128","0","0","0","128"
"Platte",1990,"17","126","0","0","0","126"
"Platte",1990,"18 to 20","239","0","0","2","241"
"Platte",1990,"21 to 24","270","0","0","0","270"
"Platte",1990,"25 & over","5244","0","9","1","5254"
"Platte",1990,"Total","8094","2","13","4","8113"
"Carbon",1994,"0","179","0","0","1","180"
"Carbon",1994,"1","196","0","6","0","202"
"Carbon",1994,"2","194","4","0","0","198"
"Carbon",1994,"3","191","0","4","0","195"
"Carbon",1994,"4","216","0","0","0","216"
"Carbon",1994,"5","222","4","9","0","235"
"Carbon",1994,"6","219","0","1","0","220"
"Carbon",1994,"7","227","0","0","2","229"
"Carbon",1994,"8","227","2","9","2","240"
"Carbon",1994,"9","242","0","0","3","245"
"Carbon",1994,"10","262","4","4","4","274"
"Carbon",1994,"11","274","3","7","0","284"
"Carbon",1994,"12","293","4","0","1","298"
"Carbon",1994,"13","285","0","0","0","285"
"Carbon",1994,"14","307","0","0","4","311"
"Carbon",1994,"15","275","1","0","4","280"
"Carbon",1994,"16","277","0","0","0","277"
"Carbon",1994,"17","290","0","1","3","294"
"Carbon",1994,"18 to 20","546","5","11","3","565"
"Carbon",1994,"21 to 24","709","4","10","6","729"
"Carbon",1994,"25 & over","10210","57","86","40","10393"
"Carbon",1994,"Total","15841","88","148","73","16150"
"Washakie",1990,"0","118","0","0","1","119"
"Washakie",1990,"1","106","0","2","0","108"
"Washakie",1990,"2","119","0","0","3","122"
"Washakie",1990,"3","114","0","0","0","114"
"Washakie",1990,"4","124","0","0","0","124"
"Washakie",1990,"5","130","1","4","2","137"
"Washakie",1990,"6","131","0","0","1","132"
"Washakie",1990,"7","141","0","0","0","141"
"Washakie",1990,"8","154","0","0","0","154"
"Washakie",1990,"9","175","0","0","0","175"
"Washakie",1990,"10","165","0","0","1","166"
"Washakie",1990,"11","169","0","0","0","169"
"Washakie",1990,"12","133","0","3","1","137"
"Washakie",1990,"13","152","0","2","0","154"
"Washakie",1990,"14","147","0","1","0","148"
"Washakie",1990,"15","171","0","4","0","175"
"Washakie",1990,"16","133","0","0","0","133"
"Washakie",1990,"17","134","0","0","2","136"
"Washakie",1990,"18 to 20","259","1","1","0","261"
"Washakie",1990,"21 to 24","265","0","0","0","265"
"Washakie",1990,"25 & over","5255","1","18","19","5293"
"Washakie",1990,"Total","8295","3","35","30","8363"
"Johnson",2009,"0","105","0","6","1","112"
"Johnson",2009,"1","122","1","4","1","128"
"Johnson",2009,"2","109","0","4","0","113"
"Johnson",2009,"3","110","1","2","0","113"
"Johnson",2009,"4","116","3","3","0","122"
"Johnson",2009,"5","120","0","2","2","124"
"Johnson",2009,"6","71","1","1","0","73"
"Johnson",2009,"7","89","0","2","0","91"
"Johnson",2009,"8","96","0","0","0","96"
"Johnson",2009,"9","86","0","0","0","86"
"Johnson",2009,"10","93","1","1","0","95"
"Johnson",2009,"11","94","0","1","0","95"
"Johnson",2009,"12","103","0","1","0","104"
"Johnson",2009,"13","90","0","0","1","91"
"Johnson",2009,"14","116","1","0","0","117"
"Johnson",2009,"15","116","2","1","0","119"
"Johnson",2009,"16","115","2","4","2","123"
"Johnson",2009,"17","100","1","0","0","101"
"Johnson",2009,"18 to 20","211","0","5","2","218"
"Johnson",2009,"21 to 24","291","1","8","3","303"
"Johnson",2009,"25 & over","6052","12","50","27","6141"
"Johnson",2009,"Total","8405","26","95","39","8565"
"Weston",2000,"0","55","0","2","0","57"
"Weston",2000,"1","75","1","3","0","79"
"Weston",2000,"2","66","0","3","0","69"
"Weston",2000,"3","77","0","1","0","78"
"Weston",2000,"4","61","0","2","0","63"
"Weston",2000,"5","54","0","0","0","54"
"Weston",2000,"6","74","0","2","1","77"
"Weston",2000,"7","76","0","0","0","76"
"Weston",2000,"8","70","0","1","1","72"
"Weston",2000,"9","72","0","2","0","74"
"Weston",2000,"10","88","0","1","0","89"
"Weston",2000,"11","104","1","2","1","108"
"Weston",2000,"12","89","1","0","0","90"
"Weston",2000,"13","117","0","0","1","118"
"Weston",2000,"14","101","0","2","0","103"
"Weston",2000,"15","124","0","1","0","125"
"Weston",2000,"16","126","0","1","0","127"
"Weston",2000,"17","128","1","2","0","131"
"Weston",2000,"18 to 20","248","0","14","0","262"
"Weston",2000,"21 to 24","217","1","7","0","225"
"Weston",2000,"25 & over","4492","4","43","11","4550"
"Weston",2000,"Total","6514","9","89","15","6627"
"Weston",1993,"0","66","0","2","0","68"
"Weston",1993,"1","78","0","0","0","78"
"Weston",1993,"2","82","0","3","0","85"
"Weston",1993,"3","84","0","1","0","85"
"Weston",1993,"4","85","0","2","0","87"
"Weston",1993,"5","87","0","0","0","87"
"Weston",1993,"6","92","0","0","0","92"
"Weston",1993,"7","104","0","0","0","104"
"Weston",1993,"8","106","0","0","0","106"
"Weston",1993,"9","114","0","5","0","119"
"Weston",1993,"10","119","0","5","0","124"
"Weston",1993,"11","134","0","1","0","135"
"Weston",1993,"12","119","0","0","0","119"
"Weston",1993,"13","138","0","0","0","138"
"Weston",1993,"14","112","0","0","0","112"
"Weston",1993,"15","127","0","0","0","127"
"Weston",1993,"16","102","0","0","0","102"
"Weston",1993,"17","97","0","2","0","99"
"Weston",1993,"18 to 20","210","0","13","0","223"
"Weston",1993,"21 to 24","223","0","6","0","229"
"Weston",1993,"25 & over","4238","0","26","4","4268"
"Weston",1993,"Total","6517","0","66","4","6587"
"Uinta",1995,"0","324","1","1","0","326"
"Uinta",1995,"1","352","2","2","2","358"
"Uinta",1995,"2","329","0","2","0","331"
"Uinta",1995,"3","326","0","0","3","329"
"Uinta",1995,"4","365","2","2","3","372"
"Uinta",1995,"5","360","6","3","1","370"
"Uinta",1995,"6","396","3","1","3","403"
"Uinta",1995,"7","360","0","6","3","369"
"Uinta",1995,"8","376","2","1","0","379"
"Uinta",1995,"9","403","0","2","3","408"
"Uinta",1995,"10","455","4","6","5","470"
"Uinta",1995,"11","429","0","4","0","433"
"Uinta",1995,"12","475","0","4","0","479"
"Uinta",1995,"13","474","0","4","2","480"
"Uinta",1995,"14","473","0","5","0","478"
"Uinta",1995,"15","461","1","4","0","466"
"Uinta",1995,"16","465","0","4","3","472"
"Uinta",1995,"17","425","0","3","1","429"
"Uinta",1995,"18 to 20","789","0","4","6","799"
"Uinta",1995,"21 to 24","829","0","12","0","841"
"Uinta",1995,"25 & over","10794","5","66","27","10892"
"Uinta",1995,"Total","19660","26","136","62","19884"
"Sweetwater",2008,"0","655","16","32","5","708"
"Sweetwater",2008,"1","711","14","14","7","746"
"Sweetwater",2008,"2","689","18","12","4","723"
"Sweetwater",2008,"3","594","13","8","4","619"
"Sweetwater",2008,"4","620","16","13","10","659"
"Sweetwater",2008,"5","673","14","12","5","704"
"Sweetwater",2008,"6","624","6","17","8","655"
"Sweetwater",2008,"7","562","18","16","8","604"
"Sweetwater",2008,"8","567","11","3","9","590"
"Sweetwater",2008,"9","578","9","5","10","602"
"Sweetwater",2008,"10","607","8","18","3","636"
"Sweetwater",2008,"11","590","11","15","5","621"
"Sweetwater",2008,"12","529","10","7","5","551"
"Sweetwater",2008,"13","536","14","8","6","564"
"Sweetwater",2008,"14","561","14","11","9","595"
"Sweetwater",2008,"15","556","12","7","5","580"
"Sweetwater",2008,"16","603","7","10","5","625"
"Sweetwater",2008,"17","594","8","18","10","630"
"Sweetwater",2008,"18 to 20","1676","32","30","21","1759"
"Sweetwater",2008,"21 to 24","2596","52","38","38","2724"
"Sweetwater",2008,"25 & over","25624","294","298","247","26463"
"Sweetwater",2008,"Total","40745","597","592","424","42358"
"Johnson",2007,"0","105","0","6","1","112"
"Johnson",2007,"1","96","1","3","0","100"
"Johnson",2007,"2","93","0","3","0","96"
"Johnson",2007,"3","104","1","2","0","107"
"Johnson",2007,"4","69","2","2","0","73"
"Johnson",2007,"5","85","0","2","2","89"
"Johnson",2007,"6","85","1","3","0","89"
"Johnson",2007,"7","91","0","1","0","92"
"Johnson",2007,"8","77","0","0","0","77"
"Johnson",2007,"9","80","0","1","0","81"
"Johnson",2007,"10","99","1","1","0","101"
"Johnson",2007,"11","83","0","1","0","84"
"Johnson",2007,"12","125","0","1","0","126"
"Johnson",2007,"13","103","0","0","1","104"
"Johnson",2007,"14","111","1","0","0","112"
"Johnson",2007,"15","120","2","1","0","123"
"Johnson",2007,"16","106","2","3","2","113"
"Johnson",2007,"17","120","1","0","0","121"
"Johnson",2007,"18 to 20","208","0","5","2","215"
"Johnson",2007,"21 to 24","315","1","5","3","324"
"Johnson",2007,"25 & over","5725","13","47","22","5807"
"Johnson",2007,"Total","8000","26","87","33","8146"
"Campbell",1994,"0","450","0","5","2","457"
"Campbell",1994,"1","484","2","11","2","499"
"Campbell",1994,"2","509","2","6","0","517"
"Campbell",1994,"3","491","0","8","0","499"
"Campbell",1994,"4","539","2","6","0","547"
"Campbell",1994,"5","539","0","11","0","550"
"Campbell",1994,"6","553","0","6","1","560"
"Campbell",1994,"7","563","0","8","0","571"
"Campbell",1994,"8","571","3","5","1","580"
"Campbell",1994,"9","625","0","12","7","644"
"Campbell",1994,"10","619","5","10","6","640"
"Campbell",1994,"11","628","0","10","0","638"
"Campbell",1994,"12","674","0","15","4","693"
"Campbell",1994,"13","657","0","15","3","675"
"Campbell",1994,"14","664","0","7","0","671"
"Campbell",1994,"15","635","1","8","4","648"
"Campbell",1994,"16","597","2","7","1","607"
"Campbell",1994,"17","579","1","10","3","593"
"Campbell",1994,"18 to 20","1141","1","11","0","1153"
"Campbell",1994,"21 to 24","1376","3","31","9","1419"
"Campbell",1994,"25 & over","17461","15","148","50","17674"
"Campbell",1994,"Total","30355","37","350","93","30835"
"Johnson",2010,"0","97","0","8","2","107"
"Johnson",2010,"1","107","1","4","1","113"
"Johnson",2010,"2","107","1","4","0","112"
"Johnson",2010,"3","116","0","4","0","120"
"Johnson",2010,"4","112","2","3","0","117"
"Johnson",2010,"5","123","2","4","2","131"
"Johnson",2010,"6","106","1","2","0","109"
"Johnson",2010,"7","86","0","3","0","89"
"Johnson",2010,"8","89","2","1","0","92"
"Johnson",2010,"9","89","0","0","0","89"
"Johnson",2010,"10","98","0","1","0","99"
"Johnson",2010,"11","96","0","1","0","97"
"Johnson",2010,"12","95","0","1","0","96"
"Johnson",2010,"13","102","0","0","1","103"
"Johnson",2010,"14","92","0","0","0","92"
"Johnson",2010,"15","118","1","1","0","120"
"Johnson",2010,"16","103","3","3","2","111"
"Johnson",2010,"17","109","2","1","0","112"
"Johnson",2010,"18 to 20","219","1","4","2","226"
"Johnson",2010,"21 to 24","256","3","7","3","269"
"Johnson",2010,"25 & over","6082","15","50","30","6177"
"Johnson",2010,"Total","8402","34","102","43","8581"
"Hot Springs",1999,"0","48","0","0","0","48"
"Hot Springs",1999,"1","51","0","0","0","51"
"Hot Springs",1999,"2","39","0","4","0","43"
"Hot Springs",1999,"3","40","0","0","0","40"
"Hot Springs",1999,"4","49","0","0","0","49"
"Hot Springs",1999,"5","35","0","0","0","35"
"Hot Springs",1999,"6","47","0","2","0","49"
"Hot Springs",1999,"7","60","0","1","0","61"
"Hot Springs",1999,"8","52","0","2","0","54"
