"",Actual,Cleared,%Cleared,Stolen,%Change
Murder,1,1,100.0%,$0,-83.3%
Rape,48,19,39.6%,$0,11.6%
Robbery,15,6,40.0%,"$7,697",50.0%
Agg. Assault,228,153,67.1%,$0,9.1%
Total Violent,,,,,
Crimes,292,179,61.3%,"$7,697",9.0%
Burglary,250,52,20.8%,"$509,360",-28.8%
Larceny,"1,367",368,26.9%,"$1,738,691",-22.6%
MV Theft,124,25,20.2%,"$1,041,734",-6.1%
Total Property,,,,,
Crimes,"1,741",445,25.6%,"$3,289,785",-22.6%
Grand Total,"2,033",624,30.7%,"$3,297,482",-19.3%
