"",VALUE,VALUE,PERCENT
TYPE OF PROPERTY,STOLEN,RECOVERED,RECOVERED
"A) Currency, Notes, etc.","$251,592","$13,259",5.3%
B) Jewelry & Precious Metal,"$85,120","$3,296",3.9%
C) Clothing & Furs,"$46,144","$5,912",12.8%
D) Locally Stolen Motor Vehicles,"$1,192,163","$762,550",64.0%
E) Office Equipment,"$34,861","$5,389",15.5%
"F) Televisions, Radios, Stereos, etc.","$64,297","$17,115",26.6%
G) Firearms,"$57,518","$20,697",36.0%
H) Household Goods,"$35,261","$4,932",14.0%
I) Consumable Goods,"$21,632","$5,302",24.5%
J) Livestock,"$18,250",$600,3.3%
K) Miscellaneous,"$941,307","$124,268",13.2%
TOTAL,"$2,748,145","$963,320",35.1%
